id	NoAdaptersSRR925687_NoPcr__PE	NoAdaptersSRR925688_NoPcr__PE	NoAdaptersSRR925697_NoPcr__PE	NoAdaptersSRR925703_NoPcr__PE	NoAdaptersSRR925714_NoPcr__PE	NoAdaptersSRR925716_NoPcr__PE	NoAdaptersSRR925720_NoPcr__PE	NoAdaptersSRR925721_NoPcr__PE	NoAdaptersSRR925726_NoPcr__PE	NoAdaptersSRR934634_NoPcr__PE	NoAdaptersSRR934636_NoPcr__PE
ENSG00000130822.14	0.34	0.00	3.14	0.40	0.36	0.05	0.37	0.47	0.00	0.00	2.24
ENSG00000130826.14	89.71	32.60	154.61	108.20	110.85	74.12	77.19	48.98	108.01	120.96	155.71
ENSG00000130827.6	20.08	21.91	45.87	33.26	11.81	14.48	23.44	33.13	17.28	7.13	0.19
ENSG00000130829.16	2.75	0.71	1.29	0.66	2.30	0.00	0.07	0.25	0.62	2.80	3.79
ENSG00000130830.13	12.88	3.05	18.03	6.41	10.85	19.82	8.60	8.16	13.77	11.48	24.73
ENSG00000130844.15	0.00	0.00	9.95	4.80	11.38	4.89	0.22	2.50	0.20	0.00	14.05
ENSG00000130856.14	2.97	2.49	2.35	0.69	7.33	3.80	2.43	2.89	2.41	2.06	4.72
ENSG00000130881.12	26.84	4.36	47.22	5.89	10.34	3.22	18.05	15.93	0.05	30.90	30.68
ENSG00000130921.6	5.19	5.96	11.09	7.52	8.90	7.38	8.65	7.37	18.31	11.83	17.42
ENSG00000130935.8	30.32	10.74	36.04	72.21	55.95	15.39	21.05	18.51	48.38	46.98	13.48
ENSG00000130939.17	11.59	8.19	10.09	12.27	8.46	12.45	10.19	5.00	8.83	8.23	20.32
ENSG00000130940.13	4.65	7.97	6.56	1.08	0.32	0.66	4.31	2.10	2.25	3.17	3.10
ENSG00000130956.12	4.49	1.22	12.98	5.36	5.96	5.27	1.74	5.60	8.28	4.35	15.55
ENSG00000130958.10	7.52	9.98	5.48	9.07	13.53	3.49	15.34	9.76	5.67	21.72	11.71
ENSG00000130962.16	3.94	4.90	3.55	2.34	2.31	0.65	3.43	5.70	0.92	4.50	1.69
ENSG00000130985.15	216.56	178.75	172.17	92.81	96.97	95.90	210.93	275.91	90.38	206.95	369.98
ENSG00000130997.15	0.11	0.26	0.05	0.18	0.40	1.34	0.05	0.58	0.06	0.00	2.13
ENSG00000131013.3	3.68	3.69	10.18	23.88	12.42	5.45	5.69	4.47	6.50	1.48	2.01
ENSG00000131015.4	3.01	10.32	5.11	8.05	1.49	9.61	4.36	14.25	17.51	2.83	2.49
ENSG00000131016.15	4.12	0.00	3.75	0.12	27.78	5.44	8.93	3.00	25.30	1.72	2.91
ENSG00000131018.21	1.18	3.00	0.01	1.38	2.48	17.01	1.11	1.17	5.73	0.20	12.23
ENSG00000131019.9	2.92	3.62	1.85	4.30	5.58	3.10	3.54	8.33	14.58	7.16	4.13
ENSG00000131023.11	1.53	2.22	3.12	3.86	3.09	4.47	4.99	2.27	5.99	0.76	3.52
ENSG00000131037.13	9.16	82.28	6.82	4.87	0.13	7.16	15.36	31.15	15.96	24.46	1.46
ENSG00000131043.10	35.37	25.27	53.36	16.71	38.74	24.57	30.91	20.93	24.97	34.16	26.43
ENSG00000131051.19	157.42	183.59	179.52	187.82	219.94	94.57	178.44	103.72	114.03	127.90	111.57
ENSG00000131061.12	2.78	1.55	2.14	1.98	1.85	2.97	2.38	3.58	1.73	1.47	6.05
ENSG00000131067.15	11.44	7.61	17.58	2.49	7.65	25.87	1.56	2.76	0.36	0.69	10.27
