id	ER-ERR1084763_PE	ER-ERR1084764_PE	ER-ERR1084765_PE	ER-ERR1084775_PE	ER-ERR1084805_PE	ER-ERR1084806_PE	ER-ERR1084811_PE	TN-ERR1084766_PE	TN-ERR1084768_PE	TN-ERR1084798_PE	TN-ERR1084799_PE	TN-ERR1084800_PE	TN-ERR1084801_PE	TN-ERR1084802_PE	TN-ERR1084803_PE	TN-ERR1084804_PE	TN-ERR1084807_PE	TN-ERR1084808_PE	TN-ERR1084809_PE	TN-ERR1084810_PE
ENSG00000260025	0.00	0.00	0.00	1.00	1.00	4.00	3.00	6.00	5.00	6.00	3.00	37.00	16.00	19.00	30.00	8.00	1.00	2.00	4.00	18.00
ENSG00000260103	0.00	0.00	0.00	3.00	0.00	1.00	0.00	0.00	3.05	1.00	0.00	1.03	0.00	0.00	0.00	0.00	1.98	1.17	2.00	0.00
ENSG00000260163	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000260230	0.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	2.03	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000260235	0.00	0.00	1.00	3.01	0.00	3.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.08	0.00	0.00
ENSG00000260246	0.00	0.00	1.00	64.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.49	4.84	7.31	9.24	0.00
ENSG00000260266	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00	8.00	1.00	1.00	1.00	0.00	0.00	0.00	1.00	5.00	2.00	3.00	0.00
ENSG00000260306	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.33	11.00	14.00	4.00	3.00	5.00	43.00	0.00	0.00	29.46	5.00	6.00	7.00
ENSG00000260316	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000260360	0.00	0.00	0.00	5.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
ENSG00000260372	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
ENSG00000260456	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000260465	99.53	129.53	89.08	92.67	62.53	128.99	62.95	927.19	116.97	121.85	0.00	70.23	365.75	206.50	231.02	104.50	57.78	36.60	225.58	783.30
ENSG00000260495	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000260581	0.00	0.00	1.00	0.00	1.00	0.00	1.00	18.00	20.00	6.00	1.00	0.00	7.00	0.00	1.00	0.00	9.00	35.00	2.00	19.00
ENSG00000260644	5.92	5.49	2.63	4.20	3.85	6.34	7.81	0.00	3.30	5.23	2.13	83.80	10.01	5.70	5.66	2.37	15.12	6.68	16.30	3.54
ENSG00000260698	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000260742	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
ENSG00000260774	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
ENSG00000260790	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000260853	0.00	1.00	0.00	5.00	1.00	3.96	0.00	92.00	1.00	2.00	1.00	1.00	2.00	2.00	0.00	3.00	2.00	2.00	2.00	66.68
ENSG00000260862	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000260872	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000260905	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	2.00	0.00	0.00	0.00
ENSG00000260913	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00
ENSG00000260916	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
ENSG00000260927	0.00	1.00	0.00	0.00	3.00	1.00	0.00	7.00	6.00	5.00	2.00	3.00	10.00	4.00	0.00	0.00	6.00	1.00	4.00	5.00
