id	NoAdaptersSRR925687_NoPcr__PE	NoAdaptersSRR925688_NoPcr__PE	NoAdaptersSRR925697_NoPcr__PE	NoAdaptersSRR925703_NoPcr__PE	NoAdaptersSRR925714_NoPcr__PE	NoAdaptersSRR925716_NoPcr__PE	NoAdaptersSRR925720_NoPcr__PE	NoAdaptersSRR925721_NoPcr__PE	NoAdaptersSRR925726_NoPcr__PE	NoAdaptersSRR934634_NoPcr__PE	NoAdaptersSRR934636_NoPcr__PE
ENSG00000066557.5	2.87	2.65	10.04	3.40	11.84	4.07	4.73	3.75	3.80	2.31	2.91
ENSG00000066583.10	9.07	4.37	5.05	5.60	7.89	7.55	12.05	5.43	17.81	5.98	10.50
ENSG00000066629.15	9.81	2.14	8.25	20.99	32.32	38.54	9.70	8.24	3.00	8.30	62.54
ENSG00000066651.16	8.44	4.56	14.19	12.92	23.10	3.29	14.46	8.21	10.25	4.27	4.08
ENSG00000066654.11	14.41	11.84	11.05	31.27	18.36	14.03	12.10	18.24	11.18	11.30	68.95
ENSG00000066697.13	25.33	6.13	44.33	27.56	59.71	32.54	18.40	45.80	46.10	43.08	45.14
ENSG00000066739.10	5.69	5.17	1.55	14.32	8.01	3.74	4.59	2.12	2.91	0.74	2.83
ENSG00000066777.7	13.21	17.39	7.54	11.36	21.63	15.17	13.82	14.24	5.84	20.17	11.26
ENSG00000066827.14	2.55	3.29	3.65	6.89	1.55	5.65	5.78	4.53	2.89	4.14	7.00
ENSG00000066855.14	12.51	9.17	21.02	32.42	28.67	15.17	14.74	12.72	10.56	31.79	15.71
ENSG00000066923.16	1.89	4.92	0.99	16.42	1.35	2.60	2.47	2.18	1.38	1.33	4.01
ENSG00000066926.9	35.20	32.15	20.08	43.59	12.24	8.71	30.59	39.60	10.13	20.94	49.90
ENSG00000066933.14	4.71	4.00	4.61	11.86	6.06	6.54	4.09	3.88	3.30	2.56	6.11
ENSG00000067057.15	316.23	127.58	161.97	30.51	152.03	181.94	201.01	241.40	148.70	291.24	202.15
ENSG00000067064.9	51.07	26.68	19.39	25.39	48.13	14.52	30.53	14.46	16.58	35.12	8.98
